	0	1	Score
673	['pay']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
674	['age']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
675	['section']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
676	['dress']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
679	['quiet']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
680	['stone']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
682	['climb']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
683	['cool']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
684	['design']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
685	['poor']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
690	['iron']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
691	['single']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
692	['stick']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
693	['flat']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
694	['twenty']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
695	['skin']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
696	['smile']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
697	['crease']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
698	['hole']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
700	['melody']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
701	['trip']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
702	['office']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
703	['receive']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
704	['row']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
705	['mouth']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
706	['exact']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
707	['symbol']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
708	['die']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
709	['least']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
711	['shout']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
712	['except']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
713	['wrote']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
714	['seed']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
715	['tone']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
716	['join']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
717	['suggest']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
718	['clean']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
719	['break']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
720	['lady']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
722	['rise']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
723	['bad']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
725	['oil']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
726	['blood']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
727	['touch']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
728	['grew']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
729	['cent']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
731	['team']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
732	['wire']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
734	['lost']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
735	['brown']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
736	['wear']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
737	['garden']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
738	['equal']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
739	['sent']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
740	['choose']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
741	['fell']	"# 2.
# 
# 3.
# 
# 4.
# 
# 5.
# 
# 6.
# 
# 7.
# 
# 8.
# 
# 9.
# 
# 10.
# 
# 11.
# 
# 12.
# 
# 13.
# 
# 14.
# 
# 15.
# 
# 16.
# 
# 17.
# 
# 18.
# 
# 19.
# 
# 20.
# 
# 21.
# 
# 22.
# 
# 23.
# 
# 24.
# 
# 25.
# 
# 26.
# 
# 27.
# 
# 28.
# 
# 29.
# 
# 30.
# 
# 31."	0
